#group,false,false,false,false,false,true,false,false
#datatype,string,long,string,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string
#default,_result,,,,,,,
,result,table,_field,_start,_stop,_time,_value,equipmentId
,,61,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T05:00:00Z,0.39104839185894436,122937
,,61,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T05:00:00Z,120,122937
,,62,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T06:00:00Z,0.3143386619147831,122937
,,62,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T06:00:00Z,120,122937
,,63,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T07:00:00Z,0.39775663603740263,122937
,,63,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T07:00:00Z,120,122937
,,64,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T08:00:00Z,0.46536617024715,122937
,,64,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T08:00:00Z,120,122937
,,65,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T09:00:00Z,0.42018672576249017,122937
,,65,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T09:00:00Z,120,122937
,,66,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T10:00:00Z,0.25893047715008627,122937
,,66,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T10:00:00Z,120,122937
,,67,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T11:00:00Z,0.24702639508424973,122937
,,67,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T11:00:00Z,120,122937
,,68,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T12:00:00Z,0.24702911922232734,122937
,,68,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T12:00:00Z,120,122937
,,69,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T13:00:00Z,0.2455211615478473,122937
,,69,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T13:00:00Z,120,122937
,,70,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T14:00:00Z,0.2444999980769094,122937
,,70,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T14:00:00Z,120,122937
,,71,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T15:00:00Z,0.2476140546388923,122937
,,71,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T15:00:00Z,120,122937
,,72,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T16:00:00Z,0.24551895890266423,122937
,,72,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T16:00:00Z,120,122937
,,73,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T17:00:00Z,0.2462824433878369,122937
,,73,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T17:00:00Z,120,122937
,,74,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T18:00:00Z,0.24674053118963873,122937
,,74,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T18:00:00Z,120,122937
,,75,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T19:00:00Z,0.247644892937923,122937
,,75,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T19:00:00Z,120,122937
,,76,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T20:00:00Z,0.2468888322321828,122937
,,76,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T20:00:00Z,120,122937
,,77,energy,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T21:00:00Z,0.24683890579949697,122937
,,77,samples,2022-04-03T16:00:00Z,2022-05-03T15:59:59Z,2022-04-06T21:00:00Z,120,122937
